Subject,ID,forehead,cheek,eye,nose,mouth,chin,Distance,RH,Airflow,env-temp,Sensation
S1,R11102,32.95555188367484,32.06293599530243,31.82305825242721,28.49591044776122,32.21853932584272,32.25089686098657,1.0,50.83888889,0.0,22.25,-1
S1,R11103,33.33662280701757,32.117372384937255,32.82083950617287,29.28472457627121,33.60254833040424,33.66651085141906,1.0,50.83888889,0.0,22.25,-1
S1,R11104,34.36073279052556,31.770636886333502,34.037600000000026,28.025204678362595,34.35883582089554,33.84966292134833,1.0,50.83888889,0.0,22.25,-1
S1,R11105,34.55269687162893,31.277531645569645,34.667607655502415,27.714000000000024,34.42055401662052,33.90210900473936,1.0,50.83888889,0.0,22.25,-1
S1,R11106,34.58643844221108,31.586034985422767,34.39756880733947,28.115870307167263,34.40180473372784,33.82721757322178,1.0,50.78333334,0.0,22.25,-1
S1,R11107,33.6213934863855,32.08329238329241,32.78187500000002,29.966726862302508,33.62867834394907,33.40520833333335,1.0,50.78333334,0.0,22.25,-1
S1,R11108,33.77518761167364,32.36501153668669,33.14373096446703,29.838458049886643,33.77854632587861,33.85807899461403,1.0,50.78333334,0.0,22.25,-1
S1,R11109,34.38993239090353,31.82306313993177,34.08346153846156,27.70322784810129,34.65599520383695,33.675879629629655,1.0,50.78333334,0.0,22.25,-1
S1,R11182,33.04288273615638,31.96135842880526,31.923303571428598,27.870720000000023,32.659932432432456,32.470937500000026,1.8,50.53888889,0.0,22.25666667,-1
S1,R11183,33.332358803986736,32.081952941176496,32.46754601226996,29.227571428571448,32.97707317073173,33.56825242718449,1.8,50.53888889,0.0,22.25666667,-1
S1,R11184,34.43154545454548,31.852842105263186,34.373194444444465,27.934640000000023,34.48270440251574,33.41680981595095,1.8,50.53888889,0.0,22.25666667,-1
S1,R11185,34.64708219178084,31.504404015056483,34.6098924731183,27.84570093457945,34.374225352112695,33.729371069182406,1.8,50.53888889,0.0,22.25666667,-1
S1,R11186,34.590974440894584,31.74818407960201,34.564831460674185,28.20690476190478,34.5076086956522,33.63261904761907,1.8,50.53888889,0.0,22.24866667,-1
S1,R11187,34.25020793950853,31.491678657074363,33.90537313432837,27.88484615384618,34.002250000000025,33.36686567164182,1.8,50.53888889,0.0,22.24866667,-1
S1,R11188,34.08303944315547,31.714942965779493,33.27863636363639,27.951157894736863,34.258468468468486,33.308849557522144,1.8,50.53888889,0.0,22.24866667,-1
S1,R11189,34.274861751152095,31.86741807348562,33.94433333333336,27.654260869565235,34.40038888888891,33.46433774834439,1.8,50.53888889,0.0,22.24866667,-1
S1,R11562,32.85174603174605,32.11851851851855,32.45870967741938,29.297241379310364,32.30204545454547,33.01500000000002,5.6,51.18888889,0.0,22.38527778,-1
S1,R11563,33.223187500000016,32.144414414414435,33.05678571428574,30.87846153846156,32.20787234042556,33.47000000000003,5.6,51.18888889,0.0,22.38527778,-1
S1,R11564,34.19806451612905,31.67045871559635,33.55536585365856,30.347222222222246,34.31968750000002,33.18000000000003,5.6,51.19444444,0.0,22.33355556,-1
S1,R11565,34.16340206185569,31.45442105263161,33.70305555555558,31.194000000000024,34.15382352941179,33.25848484848488,5.6,51.19444444,0.0,22.33355556,-1
S1,R11566,33.23722222222224,32.34806451612906,33.17580645161293,31.15341463414637,32.522439024390266,33.6919230769231,5.6,51.19444444,0.0,22.33355556,-1
S1,R11567,33.19754901960787,32.110957446808534,32.39454545454548,30.36657142857145,31.47600000000002,33.317500000000024,5.6,51.19444444,0.0,22.33355556,-1
S1,R11568,32.80740259740263,32.24169642857145,32.82280000000002,29.791904761904775,32.1114285714286,33.22666666666669,5.6,51.16666667,0.0,22.28433333,-1
